shipment_id,region,transport_mode,shipment_volume_kg,distance_km,traffic_level,weather,transportation_cost,delivery_time_hours,delay_hours,on_time
S0348,West,Road,218.8,193.4,High,Clear,2095.26,11.47,4.98,0
S0349,North,Air,502.1,587.4,Low,Rain,8249.76,6.83,1.53,1
S0350,North,Road,142.2,363.9,Low,Clear,1483.18,11.08,0.0,1
S0351,East,Road,400.1,194.9,Medium,Clear,3497.97,10.73,1.33,1
S0352,North,Rail,366.7,538.9,Medium,Clear,2406.08,14.56,2.42,0
S0353,South,Air,140.6,281.8,Low,Clear,2468.96,1.0,0.0,1
S0354,South,Rail,87.0,525.6,Low,Clear,917.37,11.95,1.23,1
S0355,West,Air,235.3,256.2,Low,Clear,3962.89,3.91,0.0,1
S0356,West,Rail,34.1,468.2,Low,Clear,492.99,11.49,1.58,1
S0357,North,Rail,440.6,276.1,Low,Clear,2610.9,6.79,0.0,1
S0358,West,Road,300.5,587.5,High,Rain,2898.47,30.07,8.15,0
S0359,North,Rail,510.8,107.7,Low,Clear,2886.58,4.64,2.3,0
S0360,East,Road,289.4,161.2,High,Clear,2661.74,13.2,3.82,0
S0361,West,Road,529.0,320.6,High,Rain,4521.46,21.73,9.03,0
S0362,West,Road,173.9,231.1,Low,Rain,1652.95,11.88,2.9,0
S0363,North,Air,325.1,271.2,Medium,Cloudy,5224.54,4.05,3.02,0
S0364,West,Air,196.1,498.0,Medium,Clear,3467.0,1.0,1.71,1
S0365,North,Road,231.2,267.9,Medium,Clear,2155.18,10.5,2.68,0
S0366,East,Rail,259.5,418.6,Low,Clear,1731.58,11.28,0.0,1
S0367,South,Rail,300.0,203.1,Low,Clear,1912.63,4.92,0.0,1
S0368,South,Road,160.2,94.2,Low,Clear,1560.74,6.24,0.0,1
S0369,North,Road,316.7,523.8,Medium,Cloudy,3005.97,19.61,3.41,0
S0370,West,Road,252.3,854.3,High,Clear,2647.88,33.32,5.5,0
S0371,South,Rail,105.4,394.5,Medium,Cloudy,1001.5,12.02,3.54,0
S0372,East,Road,79.2,330.7,Medium,Clear,994.4,14.23,3.53,0
S0373,South,Air,441.4,371.5,High,Clear,7181.02,9.83,2.73,0
S0374,South,Road,224.8,703.0,Medium,Cloudy,2270.66,27.3,3.03,0
S0375,West,Air,98.6,397.2,Low,Rain,1902.49,2.01,0.98,1
S0376,North,Road,575.5,537.8,High,Clear,5121.3,21.14,7.23,0
S0377,East,Rail,334.2,524.8,Medium,Cloudy,2331.69,16.91,3.44,0
S0378,East,Road,295.6,614.8,Low,Clear,2886.33,21.58,1.5,1
S0379,South,Road,151.8,326.7,Medium,Clear,1531.99,13.63,0.31,1
S0380,South,Rail,104.5,254.2,High,Cloudy,798.04,12.98,5.04,0
S0381,North,Air,272.4,471.1,Low,Clear,4691.66,4.57,0.61,1
S0382,West,Rail,243.5,591.1,Medium,Clear,1674.25,17.16,1.89,1
S0383,West,Road,128.1,652.9,Low,Clear,1594.16,18.39,1.96,1
S0384,North,Road,125.4,750.4,Low,Clear,1640.89,22.47,3.77,0
S0385,North,Road,121.6,562.2,Low,Clear,1486.01,19.39,0.0,1
S0386,North,Road,119.0,246.0,Medium,Clear,1255.22,15.13,0.81,1
S0387,North,Road,170.6,394.3,High,Rain,1792.74,23.01,6.59,0
S0388,West,Rail,295.7,374.9,Low,Cloudy,1933.24,9.91,2.83,0
S0389,West,Rail,323.2,352.2,Low,Clear,2011.55,8.28,1.25,1
S0390,North,Rail,240.7,471.6,Low,Clear,1792.79,11.8,0.0,1
S0391,East,Rail,265.5,309.6,Low,Cloudy,1711.54,8.37,0.94,1
S0392,North,Rail,331.6,309.9,Medium,Clear,2117.43,10.55,0.69,1
S0393,South,Road,67.1,882.8,Medium,Clear,1069.32,25.4,3.93,0
S0394,East,Road,277.1,336.5,Medium,Cloudy,2652.08,17.21,2.65,0
S0395,East,Road,481.9,612.4,Medium,Clear,4452.8,18.11,1.96,1
S0396,West,Rail,221.5,631.9,Medium,Clear,1680.99,15.04,2.76,0
S0397,North,Road,431.8,400.4,Low,Clear,3885.35,12.75,0.0,1
S0398,North,Road,223.8,316.9,Low,Clear,2175.41,14.72,0.1,1
S0399,South,Road,343.6,208.0,High,Clear,3007.85,12.54,4.12,0
S0400,South,Road,292.4,125.8,Medium,Rain,2618.48,9.35,5.28,0
S0401,West,Road,120.4,490.3,High,Clear,1368.39,19.69,6.65,0
S0402,West,Rail,137.9,436.7,High,Cloudy,1103.78,20.59,6.35,0
S0403,South,Road,529.0,530.4,Medium,Cloudy,4765.7,13.27,3.75,0
S0404,West,Road,384.4,263.7,High,Clear,3453.84,12.73,3.88,0
S0405,South,Rail,232.4,931.7,Medium,Clear,1862.06,27.45,2.17,0
S0406,East,Road,215.4,458.3,Low,Clear,2114.92,15.36,1.21,1
S0407,South,Rail,152.5,329.3,Low,Cloudy,1118.61,6.55,1.11,1
S0408,North,Road,306.1,90.6,Low,Clear,2718.93,4.29,0.0,1
S0409,West,Road,160.3,281.2,Low,Cloudy,1562.06,10.55,0.55,1
S0410,North,Road,199.6,544.3,Medium,Rain,2095.78,23.69,5.32,0
S0411,North,Road,170.2,739.8,Medium,Cloudy,1989.57,29.02,3.43,0
S0412,North,Rail,371.5,359.1,Medium,Rain,2304.45,14.88,6.49,0
S0413,South,Road,227.0,805.9,Medium,Cloudy,2494.8,25.52,4.34,0
S0414,North,Road,266.6,198.7,Low,Rain,2405.35,11.96,4.5,0
S0415,North,Road,121.8,444.1,Medium,Rain,1386.89,17.65,5.25,0
S0416,East,Rail,169.5,451.1,Medium,Cloudy,1255.76,11.43,2.74,0
S0417,West,Rail,269.9,492.5,Low,Rain,1910.3,10.08,1.58,1
S0418,North,Air,90.0,387.2,Low,Rain,1745.8,2.3,2.71,0
S0419,South,Road,217.5,430.7,Low,Clear,2176.12,11.36,0.12,1
S0420,East,Road,244.9,195.9,Low,Cloudy,2243.02,5.56,0.0,1
S0421,West,Road,112.7,701.3,High,Clear,1409.41,27.14,4.62,0
S0422,East,Road,421.6,579.6,Medium,Rain,3838.08,20.11,4.75,0
S0423,West,Air,298.1,421.3,Medium,Clear,5108.32,1.0,2.12,0
S0424,East,Rail,226.1,587.1,Low,Rain,1689.72,13.38,3.52,0
S0425,South,Road,162.4,713.5,High,Cloudy,1816.12,26.74,5.44,0
S0426,North,Road,87.9,488.6,Medium,Rain,1168.72,19.03,5.61,0
S0427,West,Air,404.3,986.8,Low,Clear,6981.35,7.24,0.0,1
S0428,West,Road,189.1,511.0,Medium,Cloudy,2163.82,17.6,0.0,1
S0429,North,Road,101.9,214.3,Medium,Cloudy,1128.75,13.08,2.19,0
S0430,East,Road,159.7,409.6,Medium,Rain,1661.95,18.24,6.28,0
S0431,North,Road,315.5,599.6,Low,Rain,3111.88,20.69,1.54,1
S0432,East,Road,281.4,713.9,Medium,Cloudy,2722.59,22.45,3.66,0
S0433,West,Road,128.4,391.8,Low,Cloudy,1427.88,13.18,3.06,0
S0434,North,Road,443.0,204.4,Low,Clear,3946.11,5.7,0.0,1
S0435,South,Road,101.1,313.0,Low,Rain,1154.56,13.61,2.99,0
S0436,North,Road,492.3,153.6,High,Clear,4107.55,11.52,2.46,0
S0437,East,Road,274.9,540.1,Low,Cloudy,2654.48,15.13,3.26,0
S0438,West,Air,197.5,279.1,Medium,Cloudy,3474.75,8.22,2.43,0
S0439,North,Rail,213.4,234.5,Low,Clear,1439.34,7.2,0.06,1
S0440,South,Road,257.8,569.1,High,Clear,2509.27,21.99,6.48,0
S0441,West,Road,328.8,797.0,Medium,Clear,3211.06,25.79,3.68,0
S0442,South,Rail,78.7,233.9,High,Rain,687.1,15.07,5.95,0
S0443,North,Road,156.7,393.3,Low,Clear,1669.78,10.44,0.0,1
S0444,South,Road,253.2,320.6,Low,Clear,2455.53,10.59,0.64,1
S0445,East,Air,452.1,731.9,Medium,Cloudy,7647.98,5.54,1.78,1
S0446,East,Road,442.9,341.8,Low,Clear,3936.27,8.92,0.0,1
S0447,South,Rail,546.9,193.0,High,Rain,3056.79,10.94,6.61,0
S0448,West,Road,431.6,351.0,High,Clear,3752.81,16.45,2.64,0
S0449,East,Road,149.8,649.7,Medium,Clear,1765.06,22.84,4.59,0
S0450,South,Road,244.3,309.9,High,Clear,2230.84,14.63,4.48,0
S0451,West,Road,433.0,248.5,Medium,Clear,3768.27,16.59,1.07,1
S0452,West,Road,410.5,333.1,Low,Clear,3663.93,12.71,0.0,1
S0453,South,Road,219.5,196.7,Medium,Cloudy,1981.62,13.55,0.54,1
S0454,North,Rail,323.9,320.3,Low,Clear,1984.11,9.57,0.0,1
S0455,East,Road,188.5,259.5,High,Clear,1825.55,18.91,5.83,0
S0456,East,Road,96.2,1085.1,Low,Clear,1574.11,28.82,4.18,0
S0457,North,Rail,230.5,103.6,Low,Clear,1493.96,1.0,0.87,1
S0458,East,Rail,222.8,213.8,Medium,Rain,1489.54,10.41,4.25,0
S0459,West,Road,183.4,248.4,Low,Clear,1787.87,9.76,0.0,1
S0460,North,Road,329.6,197.5,Low,Rain,2884.38,10.53,1.59,1
S0461,East,Air,215.4,446.5,Medium,Clear,3705.38,5.96,4.1,0
S0462,North,Road,305.0,231.5,Low,Clear,2719.23,11.0,0.0,1
S0463,East,Rail,367.9,143.7,Medium,Clear,2194.66,7.95,4.16,0
S0464,South,Air,765.6,373.8,Low,Clear,12270.9,4.48,1.67,1
S0465,North,Rail,232.7,299.7,Low,Cloudy,1439.38,6.38,0.0,1
S0466,West,Road,455.5,237.9,Low,Clear,3911.63,5.85,0.0,1
S0467,North,Road,279.2,721.9,Medium,Clear,2876.89,27.05,2.19,0
S0468,East,Road,288.1,454.8,High,Cloudy,2739.3,21.19,5.6,0
S0469,North,Road,234.5,427.1,Low,Cloudy,2212.97,12.87,1.06,1
S0470,West,Air,265.9,460.4,High,Rain,4684.24,10.52,10.24,0
S0471,East,Road,216.5,447.5,Medium,Rain,2156.53,17.85,3.66,0
S0472,West,Road,413.4,308.5,Medium,Cloudy,3678.01,12.06,2.96,0
S0473,South,Road,160.1,232.9,Medium,Rain,1610.87,10.81,5.13,0
S0474,South,Air,95.7,378.5,Medium,Cloudy,1851.31,2.93,2.52,0
S0475,East,Road,179.9,305.3,High,Clear,1747.1,15.61,4.48,0
S0476,West,Road,169.0,102.7,Medium,Cloudy,1705.18,6.9,1.27,1
S0477,West,Road,179.9,187.4,Medium,Clear,1777.45,11.87,1.9,1
S0478,North,Road,227.6,283.6,Low,Cloudy,2201.99,11.11,1.6,1
S0479,East,Road,180.2,575.8,Low,Rain,1969.99,20.74,3.95,0
S0480,North,Road,225.8,379.4,Medium,Clear,2139.89,12.85,2.54,0
S0481,South,Road,180.6,209.1,Low,Rain,1810.07,10.24,4.41,0
S0482,West,Road,308.5,177.8,Low,Rain,2699.42,10.47,3.86,0
S0483,South,Road,761.9,643.3,Low,Clear,6644.6,20.5,0.93,1
S0484,West,Road,276.1,316.7,Low,Clear,2472.82,10.13,0.0,1
S0485,South,Road,184.8,53.0,Medium,Rain,1575.3,11.27,3.71,0
S0486,North,Road,52.9,328.3,Medium,Rain,801.27,16.16,4.55,0
S0487,South,Road,626.7,509.4,Medium,Clear,5429.27,19.65,2.7,0
S0488,East,Road,284.7,174.5,Low,Clear,2444.17,5.51,0.0,1
S0489,West,Road,224.7,363.4,Medium,Cloudy,2207.2,11.08,1.49,1
S0490,East,Road,54.8,382.8,Medium,Clear,945.54,15.16,0.61,1
S0491,West,Road,231.3,180.9,Medium,Clear,2206.32,10.86,0.0,1
S0492,West,Road,264.7,675.2,Medium,Clear,2654.81,23.53,2.43,0
S0493,West,Rail,180.9,386.5,Medium,Clear,1333.74,12.46,0.06,1
S0494,East,Road,107.0,282.7,Medium,Cloudy,1240.31,12.17,1.5,1
S0495,South,Road,102.7,317.9,High,Cloudy,1238.16,15.59,4.77,0
S0496,South,Road,632.1,160.7,Medium,Cloudy,5306.29,10.94,1.0,1
S0497,North,Road,260.5,156.7,Medium,Cloudy,2352.06,10.56,3.03,0
S0498,South,Road,180.9,267.7,Medium,Clear,1790.97,10.31,2.54,0
S0499,West,Rail,251.9,277.4,Low,Clear,1672.91,9.48,0.0,1
S0500,South,Rail,242.4,306.1,High,Clear,1601.52,11.62,3.51,0
