shipment_id,carrier,origin,destination,distance_km,weight_kg,transit_time_hours,delivery_cost_inr,on_time_flag,distance_km_norm,weight_kg_norm,transit_time_hours_norm,delivery_cost_inr_norm
SHP1171,Fastfreight,Chennai,Hyderabad,413.2,20.8,52.6,1882.8,Yes,0.42449939582254437,0.05661657779932138,0.808052434456929,0.2612569059541501
SHP1172,Urbancargo,Delhi,Ahmedabad,267.1,71.3,45.0,1733.19,Yes,0.17229846366304158,0.4482792050412021,0.6657303370786518,0.2078788084207598
SHP1173,Metrologix,Bangalore,Ahmedabad,545.7,85.0,38.25,1513.76,Yes,0.6532237182806837,0.5545322346097916,0.5393258426966293,0.12959021847522245
SHP1174,Metrologix,Mumbai,Lucknow,313.3,44.1,28.9,1968.9,Yes,0.2520498877956153,0.2373242850218129,0.36423220973782766,0.2919758030708195
SHP1175,Urbancargo,Bangalore,Lucknow,482.1,94.5,29.3,3431.54,Yes,0.5434360435007768,0.6282113427047988,0.37172284644194753,0.8138188655414966
SHP1176,Swiftship,Chennai,Hyderabad,746.5875,41.9,35.7,1568.36,Yes,1.0,0.220261754726127,0.49157303370786526,0.14907049469554934
SHP1177,Fastfreight,Delhi,Jaipur,256.7,60.0,33.7,2317.88,Yes,0.15434576212670456,0.36063984488608825,0.45411985018726597,0.4164854513376637
SHP1178,Transglobal,Delhi,Hyderabad,432.2,113.5,45.5,1724.11,Yes,0.4572976005523907,0.7755695588948134,0.6750936329588016,0.20463923134968706
SHP1179,Fastfreight,Kolkata,Jaipur,401.1,57.9,62.84999999999999,2139.42,No,0.40361211807353703,0.34435288414929716,1.0,0.3528142041896867
SHP1180,Fastfreight,Delhi,Jaipur,377.8,94.3,41.1,2601.82,Yes,0.3633911617469359,0.6266602035870091,0.5926966292134832,0.5177900233156788
SHP1181,Swiftship,Kolkata,Lucknow,541.2,36.2,35.7,2079.93,No,0.6454557224236148,0.17605428986912267,0.49157303370786526,0.3315892658683084
SHP1182,Fastfreight,Mumbai,Pune,582.8,132.0,38.7,3153.8,Yes,0.7172665285689624,0.9190499272903538,0.5477528089887641,0.7147263395811744
SHP1183,Urbancargo,Chennai,Pune,542.6,72.4,33.7,3420.39,Yes,0.6478724322458139,0.45681047018904514,0.45411985018726597,0.8098407505258072
SHP1184,Urbancargo,Kolkata,Ahmedabad,363.2,82.4,43.1,1150.54,Yes,0.3381883307440013,0.5343674260785265,0.6301498127340825,0.0
SHP1185,Metrologix,Mumbai,Lucknow,742.1,84.5,43.2,2090.2,Yes,0.9922535819092009,0.5506543868153175,0.6320224719101125,0.3352534130621318
SHP1186,Transglobal,Delhi,Jaipur,459.5,95.2,40.6,2535.49,Yes,0.5044234420852753,0.6336403296170625,0.5833333333333334,0.4941246987425233
SHP1187,Fastfreight,Delhi,Pune,326.1,42.0,42.1,3175.67,Yes,0.2741455204557224,0.22103732428502182,0.6114232209737829,0.7225291535177778
SHP1188,Fastfreight,Mumbai,Jaipur,470.4,79.9,26.6,2227.45,Yes,0.5232392542723977,0.5149781871061562,0.32116104868913853,0.3842216898247668
SHP1189,Swiftship,Delhi,Pune,460.7,63.5,39.2,2488.04,Yes,0.5064949076471602,0.3877847794474067,0.5571161048689139,0.4771954110748583
SHP1190,Urbancargo,Mumbai,Pune,468.8,37.8,48.5,1805.95,Yes,0.5204773001898843,0.18846340281143964,0.7312734082397006,0.23383823878323207
SHP1191,Transglobal,Kolkata,Pune,639.6,104.7,40.9,1580.32,Yes,0.8153158984981875,0.7073194377120698,0.5889513108614233,0.15333760282000192
SHP1192,Metrologix,Kolkata,Lucknow,435.6,71.2,38.25,3367.23,Yes,0.4631667529777318,0.4475036354823073,0.5393258426966293,0.7908742398321702
SHP1193,Urbancargo,Mumbai,Hyderabad,463.6,86.1,39.95,1405.56,Yes,0.5115009494217159,0.5630634997576345,0.5711610486891386,0.0909864476503255
SHP1194,Metrologix,Kolkata,Jaipur,378.7,84.5,39.7,3897.17,Yes,0.36494476091834965,0.5506543868153175,0.5664794007490638,0.9799470892863836
SHP1195,Swiftship,Kolkata,Lucknow,520.6,71.6,28.4,2935.09,Yes,0.609895563611255,0.45060591371788655,0.3548689138576778,0.636694632398982
SHP1196,Swiftship,Kolkata,Lucknow,411.8,76.7,22.4,2514.27,No,0.4220826860003452,0.49015996122152206,0.24250936329588005,0.48655379285616185
SHP1197,Fastfreight,Bangalore,Lucknow,411.7,78.8,32.8,2845.28,Yes,0.4219100638701881,0.5064469219583131,0.4372659176029962,0.6046520754878545
SHP1198,Transglobal,Chennai,Lucknow,515.2,41.1,28.6,2348.39,Yes,0.6005739685827723,0.2140571982549685,0.3586142322097378,0.4273708584344067
SHP1199,Metrologix,Delhi,Lucknow,574.2,74.3,62.84999999999999,2735.25,No,0.7024210253754533,0.4715462918080465,1.0,0.5653953943061224
